Comp Name:Grand National Dancesport Championships
Dancers
Maier, Polina:248
Maletin, Ilya:247
Malinauskaitė, Agne:107
Malkhasyan, Roman:284
Maloney, Daniel:399
Manakhov, Daniil:599
Marquez, Alejandro:437
Martinez, Rhonda:235
Mauceri, Amandine:95
Maviyildiz, Zeki:129
McCurley, Peggy:236
McFarlane - Hemera, Lauren:313
McGlynn, Jessica:176
McGrath, Steven:231
McNamee, Brian:576
McNeal, Mytia:219
McTague, Joel:152
Medeiros, David:556
Medvic, Cindy:237
Medvic, Ed:241
Melnyk, Kelly:175
Merenkov, Artem:265
Meshkov, Ruslan:358
Mikushov, Igor:170
Milat, Mariia:336
Miller, Brad:148
Milot, Jean-Philippe:374
Modrzynski, Przemyslaw:350
Monley, Craig:290
Montagnese, Brad:233
Moore, Michelle:50
Moretti, Sabrina:589
Morse, Pat:400
Mulyavka, Ivan:328
Nagruzalieva, Sofia:570
Napoleon, Hugues:181
Nartov, Yuriy:426
Nashev, Aleks:322
Naumov, Dmytro:54
Nazarov, Evgeny:255
Nazarova, Eva:568
Neil, Michael:434
Nesterova, Elena:523
Nia, Michelle:141
Nicoll, Helen:592
Nikishkin, Dmitry:298
Nikitin, Kirill:294
Nikitin, Marsel:372
Nikolaeva, Olga:315
Norov, Nazar:253
Nyman, Millie:366
Obreja, Sorin:125
O'Flanagan, Dr. Maureen L:360
Orengo, Alex:441
Orrett, Tali:513
Ortiz, Emilyana:394
Ouk, Trang:274
Pacini, Riccardo:401
Panache, Slava:304
Pando, Jasmine:418
Papi, Riccardo:588
Paramonov, Andre:525
Paramonov, Natalie:526
Parragh, Celene:321
Parragh, Jozsef:317
Pelypenko, Anna:157
Pena, Daiana:622
Penney, Justin:158
Pinard, Marguerite:388
Pohybil, Dmytro:584
Politzer, Nancy:609
Popova, Alisa:572
Popova, Ekaterina:348
Porokhiava, Yevanhelina:606
Prado, Christie:492
Proper, William:432
Prosser, Nicole:180
Pruitt, Jared:142
Pumo, Gabriella:244
Pylyay, Ihor:56
Radko, Mykhaylo:335
Rakitska, Denitsa:230
Rannella, Giovanni:580
Ratliff, Mary Ann:239
Raurell, Sofia:438
Raviotta, Ginny:131
Razavi, Cyrus:341
Razavi, Natalia:342
Reyes, Romney:607
Reyes, Sasha:586
Richards, Charles:302
Richards, Jessica:303
Riegler, David:100
Riegler, Ksenia:101
Rigano, Robby:406
Rivas, Armani Gregorio:595
Rodriguez, Nicolas:363
Roehl, Sophia:490
Rojo, Cristina:442
Rooba, Karin:349
Rothenberg, Leslie:390
Ruiz, Alejandro:421
Sablina, Zhanna:429
Saiki, Tomoko:105
Samchynskyy, Sergiy:521
Sampaleanu, Dana:324
Sanchez, Ashley:420
Sanchez, Sophia:440
Sandvig, Melanie:278
Sanford, Barbara:371
Sarangaya, Susana:386
Savage, Lauren:173
Schuler, Benjamin:296
Scott, Karen:137
Seliverstova, Tatiana:184
Semukova, Ekaterina:207
Senko, Alex:268
Sereda, Daria:78
Seres, Gabor:132
Sergeeva, Marina:192
Seuchi, Hideyuki:104
Shakhov, Vladislav:347
Shakirzyanova, Lilia:121
Sharov, Artem:376
