Manhattan Dance Championships,Adult Mixed Am Open Gold Championships  mB AM/AM Amer. Smooth Championship (W,T,F,VW),Smooth,25
Manhattan Dance Championships,Adult Mixed Am Open Gold Championships  mB AM/AM Int'l Latin Championship (CC,S,R,PD,J),Latin,25
Manhattan Dance Championships,Adult Mixed Am Open Gold Championships  mC AM/AM Int'l Ballroom Championship (W,T,VW,F,Q),Standard,25
Manhattan Dance Championships,Adult Mixed Am Open Gold Championships  mC AM/AM Int'l Latin Championship (CC,S,R,PD,J),Latin,25
Manhattan Dance Championships,Adult Mixed Am Open Gold Championships  mSR AM/AM Int'l Ballroom Championship (W,T,VW,F,Q),Standard,25
Manhattan Dance Championships,Amateur Adult American Championships  AD Amer. Smooth Championship (W,T,F,VW),Smooth,20
Manhattan Dance Championships,Amateur Adult Int'l Championships  AD Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Manhattan Dance Championships,Amateur Adult Int'l Championships  AD Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Manhattan Dance Championships,Amateur Adult Int'l Championships  S1 Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Manhattan Dance Championships,Amateur Adult Int'l Championships  S1 Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Manhattan Dance Championships,Amateur Adult Novice Gold 4-Dance S2 Int'l Ballroom (W,T,F,Q),Standard,5
Manhattan Dance Championships,Amateur Adult Novice Gold 4-Dance S3 Int'l Ballroom (W,T,F,Q),Standard,5
Manhattan Dance Championships,Amateur Adult Novice Open 3-Dance AD Int'l Latin (CC,S,R),Latin,10
Manhattan Dance Championships,Amateur Adult Novice Open 3-Dance S3 Amer. Smooth (W,T,F),Smooth,10
Manhattan Dance Championships,Amateur Adult Novice Open 3-Dance S3 Int'l Ballroom (W,F,Q),Standard,10
Manhattan Dance Championships,Amateur Adult Novice Silver 3-Dance S3 Int'l Ballroom (W,F,Q),Standard,5
Manhattan Dance Championships,Amateur Adult PreChampionships AD Int'l Latin (CC,S,R,J),Latin,15
Manhattan Dance Championships,Amateur Adult PreChampionships S2 Int'l Ballroom (W,T,F,Q),Standard,15
Manhattan Dance Championships,Amateur Adult PreChampionships S3 Int'l Ballroom (W,T,F,Q),Standard,15
Manhattan Dance Championships,Amateur Senior 2 Int'l Championships  Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Manhattan Dance Championships,Amateur Senior 3 Int'l Championships  Int'l Ballroom Championship (W,T,F,Q),Standard,20
Manhattan Dance Championships,Amateur Under 21 Int'l Championships  Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Manhattan Dance Championships,Amateur Under 21 Int'l Championships  Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Manhattan Dance Championships,Amateur Youth 3-Dance Events Closed P1 Int'l Ballroom (W,T,Q),Standard,15
Manhattan Dance Championships,Amateur Youth 3-Dance Events Closed P1 Int'l Latin (CC,S,R),Latin,15
Manhattan Dance Championships,Amateur Youth 3-Dance Events Closed P2 Int'l Ballroom (W,T,Q),Standard,15
Manhattan Dance Championships,Amateur Youth 3-Dance Events Closed P2 Int'l Latin (CC,S,R),Latin,15
Manhattan Dance Championships,Amateur Youth 5-Dance Events Closed P1 Int'l Ballroom (W,T,VW,F,Q),Standard,15
Manhattan Dance Championships,Amateur Youth 5-Dance Events Closed P1 Int'l Latin (CC,S,R,PD,J),Latin,15
Manhattan Dance Championships,Amateur Youth 5-Dance Events Closed P2 Int'l Ballroom (W,T,VW,F,Q),Standard,15
Manhattan Dance Championships,Amateur Youth 5-Dance Events Closed P2 Int'l Latin (CC,S,R,PD,J),Latin,15
Manhattan Dance Championships,Amateur Youth Events  J1 Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Manhattan Dance Championships,Amateur Youth Events  J1 Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Manhattan Dance Championships,Amateur Youth Events  J2 Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Manhattan Dance Championships,Amateur Youth Events  J2 Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Manhattan Dance Championships,Amateur Youth Events  YH Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Manhattan Dance Championships,Amateur Youth Events  YH Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Manhattan Dance Championships,Amateur Youth Novice Open Events J1 Int'l Ballroom (W,T,Q),Standard,10
Manhattan Dance Championships,Amateur Youth Novice Open Events J1 Int'l Latin (CC,S,R),Latin,10
Manhattan Dance Championships,Amateur Youth Novice Open Events J2 Int'l Ballroom (W,T,Q),Standard,10
Manhattan Dance Championships,Amateur Youth Novice Open Events J2 Int'l Latin (CC,S,R),Latin,10
Manhattan Dance Championships,Amateur Youth Novice Open Events YH Int'l Latin (CC,S,R),Latin,10
Manhattan Dance Championships,Amateur Youth PreChampionship Events J1 Int'l Ballroom (W,T,F,Q),Standard,15
Manhattan Dance Championships,Amateur Youth PreChampionship Events J1 Int'l Latin (CC,S,R,J),Latin,15
Manhattan Dance Championships,Amateur Youth PreChampionship Events J2 Int'l Ballroom (W,T,F,Q),Standard,15
Manhattan Dance Championships,Amateur Youth PreChampionship Events J2 Int'l Latin (CC,S,R,J),Latin,15
Manhattan Dance Championships,Amateur Youth PreChampionship Events YH Int'l Ballroom (W,T,F,Q),Standard,15
Manhattan Dance Championships,Amateur Youth PreChampionship Events YH Int'l Latin (CC,S,R,J),Latin,15
Manhattan Dance Championships,Mixed Amateur Yourh 3-Dance Events mP1 Int'l Ballroom (W,T,Q),Standard,15
Manhattan Dance Championships,Mixed Amateur Yourh 3-Dance Events mP1 Int'l Latin (CC,S,R),Latin,15
Manhattan Dance Championships,Mixed Amateur Yourh 3-Dance Events mP2 Int'l Latin (CC,S,R),Latin,15
Manhattan Dance Championships,Mixed Amateur Youth 5-Dance Events mP1 Int'l Ballroom (W,T,VW,F,Q),Standard,15
Manhattan Dance Championships,Mixed Amateur Youth 5-Dance Events mP1 Int'l Latin (CC,S,R,PD,J),Latin,15
Manhattan Dance Championships,Pro/Am C Global Cl. Bronze Scholarships Amer. Rhythm (CC,R,SW),Rhythm,15
Manhattan Dance Championships,Pro/Am C Global Cl. Bronze Scholarships Amer. Smooth (W,T,F),Smooth,15
Manhattan Dance Championships,Pro/Am C Global Cl. Bronze Scholarships Int'l Ballroom (W,T,F),Standard,15
Manhattan Dance Championships,Pro/Am C Global Cl. Bronze Scholarships Int'l Latin (CC,S,R),Latin,15
Manhattan Dance Championships,Pro/Am C Global Cl. Gold Scholarships Amer. Rhythm (CC,R,SW,M),Rhythm,25
Manhattan Dance Championships,Pro/Am C Global Cl. Gold Scholarships Amer. Smooth (W,T,F,VW),Smooth,25
Manhattan Dance Championships,Pro/Am C Global Cl. Gold Scholarships Int'l Ballroom (W,T,F,Q),Standard,25
Manhattan Dance Championships,Pro/Am C Global Cl. Gold Scholarships Int'l Latin (CC,S,R,J),Latin,25
Manhattan Dance Championships,Pro/Am C Global Cl. Silver Scholarships Amer. Rhythm (CC,R,SW,M),Rhythm,20
Manhattan Dance Championships,Pro/Am C Global Cl. Silver Scholarships Amer. Smooth (W,T,F,VW),Smooth,20
Manhattan Dance Championships,Pro/Am C Global Cl. Silver Scholarships Int'l Ballroom (W,T,F,Q),Standard,20
Manhattan Dance Championships,Pro/Am C Global Cl. Silver Scholarships Int'l Latin (CC,S,R,J),Latin,20
Manhattan Dance Championships,Pro/Am C Global Open Scholarships Amer. Rhythm (CC,R,SW,B,M),Rhythm,25
Manhattan Dance Championships,Pro/Am C Global Open Scholarships Amer. Smooth (W,T,F,VW),Smooth,25
Manhattan Dance Championships,Pro/Am C Global Open Scholarships Int'l Ballroom (W,T,VW,F,Q),Standard,25
Manhattan Dance Championships,Pro/Am C Global Open Scholarships Int'l Latin (CC,S,R,PD,J),Latin,25
Manhattan Dance Championships,Pro/Am Closed Bronze Scholarships A Amer. Rhythm (CC,R,SW),Rhythm,15
Manhattan Dance Championships,Pro/Am Closed Bronze Scholarships A Amer. Smooth (W,T,F),Smooth,15
Manhattan Dance Championships,Pro/Am Closed Bronze Scholarships A Int'l Ballroom (W,T,F),Standard,15
Manhattan Dance Championships,Pro/Am Closed Bronze Scholarships A Int'l Latin (CC,S,R),Latin,15
Manhattan Dance Championships,Pro/Am Closed Bronze Scholarships B Amer. Rhythm (CC,R,SW),Rhythm,15
Manhattan Dance Championships,Pro/Am Closed Bronze Scholarships B Amer. Smooth (W,T,F),Smooth,15
Manhattan Dance Championships,Pro/Am Closed Bronze Scholarships B Int'l Ballroom (W,T,F),Standard,15
Manhattan Dance Championships,Pro/Am Closed Bronze Scholarships B Int'l Latin (CC,S,R),Latin,15
Manhattan Dance Championships,Pro/Am Closed Bronze Scholarships S1 Amer. Rhythm (CC,R,SW),Rhythm,15
Manhattan Dance Championships,Pro/Am Closed Bronze Scholarships S1 Amer. Smooth (W,T,F),Smooth,15
Manhattan Dance Championships,Pro/Am Closed Bronze Scholarships S1 Int'l Ballroom (W,T,F),Standard,15
Manhattan Dance Championships,Pro/Am Closed Bronze Scholarships S1 Int'l Latin (CC,S,R),Latin,15
