Empire Dance Championship,Championship Amateur 4-Dance Events Open S1 Int'l Ballroom (W,T,F,Q),Standard,20
Empire Dance Championship,Championship Amateur 4-Dance Events Open S2 Int'l Ballroom (W,T,F,Q),Standard,20
Empire Dance Championship,Championship Amateur 4-Dance Events Open S3 Int'l Ballroom (W,T,F,Q),Standard,20
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze AD Int'l Latin (CC,R),Latin,10
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze J2 Amer. Smooth (W,T),Smooth,10
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze J2 Int'l Ballroom (W,Q),Standard,10
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze J2 Int'l Latin (CC,R),Latin,10
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze S1 Int'l Ballroom (W,Q),Standard,10
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze S2 Int'l Ballroom (W,Q),Standard,10
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze YH Amer. Rhythm (CC,R),Rhythm,10
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze YH Amer. Smooth (W,T),Smooth,10
Empire Dance Championship,Closed Amateur 3-Dance Events Closed Silver AD Amer. Smooth (W,T,F),Smooth,15
Empire Dance Championship,Closed Amateur 3-Dance Events Closed Silver AD Int'l Ballroom (W,T,Q),Standard,15
Empire Dance Championship,Closed Amateur 3-Dance Events Closed Silver J1 Int'l Latin (CC,S,R),Latin,15
Empire Dance Championship,Closed Amateur 3-Dance Events Closed Silver S3 Amer. Smooth (W,T,F),Smooth,15
Empire Dance Championship,Closed Amateur 3-Dance Events Closed Silver S3 Int'l Ballroom (W,T,Q),Standard,15
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold AD Int'l Ballroom (W,T,F,Q),Standard,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold AD Int'l Latin (CC,S,R,J),Latin,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold J1 Int'l Latin (CC,S,R,J),Latin,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold J2 Int'l Latin (CC,S,R,J),Latin,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold S1 Int'l Latin (CC,S,R,J),Latin,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold S2 Amer. Smooth (W,T,F,VW),Smooth,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold S2 Int'l Latin (CC,S,R,J),Latin,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold S3 Amer. Smooth (W,T,F,VW),Smooth,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold S3 Int'l Ballroom (W,T,F,Q),Standard,20
Empire Dance Championship,Closed Amateur 4/5 Dance Championships  P1 Int'l Ballroom Championship (W,T,VW,F,Q),Standard,15
Empire Dance Championship,Closed Amateur 4/5 Dance Championships  P1 Int'l Latin Championship (CC,S,R,PD,J),Latin,15
Empire Dance Championship,Closed Amateur 4/5 Dance Championships  P2 Int'l Ballroom Championship (W,T,VW,F,Q),Standard,15
