The Ball at the San Francisco Open Dancesport Championships,Amateur Novice Events Open A Amer. Smooth (W,T,F),Smooth,10
The Ball at the San Francisco Open Dancesport Championships,Amateur Novice Events Open A Int'l Ballroom (W,T,Q),Standard,10
The Ball at the San Francisco Open Dancesport Championships,Amateur Novice Events Open A Int'l Latin (CC,R,J),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Amateur Novice Events Open MA Int'l Ballroom (W,T,Q),Standard,10
The Ball at the San Francisco Open Dancesport Championships,Amateur Novice Events Open S3 Int'l Ballroom (W,T,Q),Standard,10
The Ball at the San Francisco Open Dancesport Championships,Amateur Open Championships  A Amer. Smooth Championship (W,T,F,VW),Smooth,20
The Ball at the San Francisco Open Dancesport Championships,Amateur Open Championships  S1 Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
The Ball at the San Francisco Open Dancesport Championships,Amateur Open Championships  S1 Int'l Latin Championship (CC,S,R,PD,J),Latin,20
The Ball at the San Francisco Open Dancesport Championships,Amateur Open Championships  S2 Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
The Ball at the San Francisco Open Dancesport Championships,Amateur Open Championships  S3 Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
The Ball at the San Francisco Open Dancesport Championships,Amateur Open Championships  YH Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
The Ball at the San Francisco Open Dancesport Championships,Amateur Open Championships  YH Int'l Latin Championship (CC,S,R,PD,J),Latin,20
The Ball at the San Francisco Open Dancesport Championships,Amateur Open Scholarships A Int'l Ballroom (W,T,VW,F,Q),Standard,25
The Ball at the San Francisco Open Dancesport Championships,Amateur Open Scholarships A Int'l Latin (CC,S,R,PD,J),Latin,25
The Ball at the San Francisco Open Dancesport Championships,Amateur Open Scholarships J2 Int'l Ballroom (W,T,VW,F,Q),Standard,25
The Ball at the San Francisco Open Dancesport Championships,Amateur Open Scholarships J2 Int'l Latin (CC,S,R,PD,J),Latin,25
The Ball at the San Francisco Open Dancesport Championships,Amateur Open Scholarships U21 Int'l Ballroom (W,T,VW,F,Q),Standard,25
The Ball at the San Francisco Open Dancesport Championships,Amateur Open Scholarships U21 Int'l Latin (CC,S,R,PD,J),Latin,25
The Ball at the San Francisco Open Dancesport Championships,Amateur PreChampionship Events A Int'l Ballroom (W,T,F,Q),Standard,15
The Ball at the San Francisco Open Dancesport Championships,Amateur PreChampionship Events A Int'l Latin (CC,S,R,J),Latin,15
The Ball at the San Francisco Open Dancesport Championships,Amateur PreChampionship Events MA Int'l Ballroom (W,T,F,Q),Standard,15
The Ball at the San Francisco Open Dancesport Championships,Amateur PreChampionship Events S3 Int'l Ballroom (W,T,F,Q),Standard,15
The Ball at the San Francisco Open Dancesport Championships,Amateur PreChampionship Events S3 Int'l Latin (CC,S,R,J),Latin,15
The Ball at the San Francisco Open Dancesport Championships,Amateur Syllabus 2-Dance Events 1 Closed Bronze P1 Int'l Latin (CC,R),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Amateur Syllabus 2-Dance Events 1 Closed Bronze P2 Int'l Latin (CC,R),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Amateur Syllabus 2-Dance Events 1 Closed Bronze TB Int'l Ballroom (W,Q),Standard,10
The Ball at the San Francisco Open Dancesport Championships,Amateur Syllabus 2-Dance Events 1 Closed Bronze TB Int'l Latin (CC,R),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Amateur Syllabus 2-Dance Events 1 PreNovice A Int'l Ballroom (W,Q),Standard,5
The Ball at the San Francisco Open Dancesport Championships,Amateur Syllabus 2-Dance Events 1 PreNovice A Int'l Latin (CC,R),Latin,5
The Ball at the San Francisco Open Dancesport Championships,Amateur Syllabus 2-Dance Events 1 PreNovice B Int'l Ballroom (W,Q),Standard,5
The Ball at the San Francisco Open Dancesport Championships,Amateur Syllabus 2-Dance Events 2 Closed Bronze P1 Int'l Latin (S,J),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Amateur Syllabus 2-Dance Events 2 Closed Bronze P2 Int'l Latin (S,J),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Amateur Syllabus 2-Dance Events 2 Closed Bronze TB Int'l Latin (S,J),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Amateur Syllabus 2-Dance Events 2 PreNovice A Int'l Ballroom (T,F),Standard,5
The Ball at the San Francisco Open Dancesport Championships,Amateur Syllabus 2-Dance Events 2 PreNovice A Int'l Latin (S,J),Latin,5
The Ball at the San Francisco Open Dancesport Championships,Amateur Syllabus 2-Dance Events 2 PreNovice B Int'l Ballroom (T,F),Standard,5
The Ball at the San Francisco Open Dancesport Championships,Amateur Syllabus 3-Dance Events Closed Silver A Int'l Ballroom (W,T,Q),Standard,15
The Ball at the San Francisco Open Dancesport Championships,American 6-Dance Event Closed Bronze C (W,T,F,CC,R,SW),Unknown,10
The Ball at the San Francisco Open Dancesport Championships,American 6-Dance Event Closed Bronze S1 (W,T,F,CC,R,SW),Unknown,10
The Ball at the San Francisco Open Dancesport Championships,American 6-Dance Event Closed Silver C Amer. Rhythm (CC,R,SW),Rhythm,15
The Ball at the San Francisco Open Dancesport Championships,American 9-Dance Event Open B (W,T,F,VW,CC,R,SW,B,M),Unknown,20
The Ball at the San Francisco Open Dancesport Championships,American 9-Dance Event Open B Amer. Rhythm (CC,R,SW,B,M),Rhythm,20
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed A Amer. Smooth (W,T,F),Smooth,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed A Int'l Latin (CC,R,J),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed B Amer. Rhythm (CC,R,SW),Rhythm,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed B Amer. Smooth (W,T,F),Smooth,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed B Int'l Ballroom (W,T,Q),Standard,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed B Int'l Latin (CC,R,J),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed C Amer. Rhythm (CC,R,SW),Rhythm,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed C Amer. Smooth (W,T,F),Smooth,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed C Int'l Ballroom (W,T,Q),Standard,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed C Int'l Latin (CC,R,J),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed C Nightclub (H,SA,NC),Nightclub,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed P1 Int'l Latin (CC,R,J),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed S1 Amer. Rhythm (CC,R,SW),Rhythm,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed S1 Amer. Smooth (W,T,F),Smooth,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed S1 Int'l Ballroom (W,T,Q),Standard,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed S1 Int'l Latin (CC,R,J),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Closed S1 Nightclub (H,SA,NC),Nightclub,10
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Open A Int'l Latin (CC,R,J),Latin,15
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Open A Mixed Prof M/F Int'l Latin (CC,R,J),Latin,15
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Open C Amer. Rhythm (CC,R,SW),Rhythm,15
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Open C Amer. Smooth (W,T,F),Smooth,15
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Open C Int'l Ballroom (W,T,Q),Standard,15
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Open C Int'l Latin (CC,R,J),Latin,15
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Open S1 Amer. Rhythm (CC,R,SW),Rhythm,15
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Open S1 Amer. Smooth (W,T,F),Smooth,15
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Open S1 Int'l Ballroom (W,T,Q),Standard,15
The Ball at the San Francisco Open Dancesport Championships,Bronze Pro-Am Multi-Dances Open S1 Int'l Latin (CC,R,J),Latin,15
The Ball at the San Francisco Open Dancesport Championships,Bronze WDSS Qualifiers A Amer. Smooth (W,T,F),Smooth,10
The Ball at the San Francisco Open Dancesport Championships,Bronze WDSS Qualifiers A Int'l Latin (CC,R,J),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Bronze WDSS Qualifiers B Amer. Rhythm (CC,R,SW),Rhythm,10
The Ball at the San Francisco Open Dancesport Championships,Bronze WDSS Qualifiers B Amer. Smooth (W,T,F),Smooth,10
The Ball at the San Francisco Open Dancesport Championships,Bronze WDSS Qualifiers B Int'l Ballroom (W,T,Q),Standard,10
The Ball at the San Francisco Open Dancesport Championships,Bronze WDSS Qualifiers B Int'l Latin (CC,R,J),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Bronze WDSS Qualifiers C Amer. Rhythm (CC,R,SW),Rhythm,10
The Ball at the San Francisco Open Dancesport Championships,Bronze WDSS Qualifiers C Amer. Smooth (W,T,F),Smooth,10
The Ball at the San Francisco Open Dancesport Championships,Bronze WDSS Qualifiers C Int'l Ballroom (W,T,Q),Standard,10
The Ball at the San Francisco Open Dancesport Championships,Bronze WDSS Qualifiers C Int'l Latin (CC,R,J),Latin,10
The Ball at the San Francisco Open Dancesport Championships,Bronze WDSS Qualifiers PT Int'l Latin (CC,R,J),Latin,10
