Comp Name:The Snow Ball 2020
Dancers
Peery, Charlie:120
Perry, Kimberly:375
Peterson, Grace:66
Peterson, Karin:99
Petkova, Neli:391
Phillips, Clive:367
Pickering, Martin:102
Pierce, Hanna:381
Pinizzotto, Mary:145
Ponte-Usdin, Adelaide:180
Pope, Lynette:371
Potys, Timea:9
Prosser, Nicole:297
Pruitt, Jared:33
Pruitt, Natalie:32
Querna, Mark:377
Quintana, Nick:31
Rainyte, Emma:293
Ramirez, Eliecer:321
Ramirez, Rebecca:322
Rasmussen, Matthew:282
Rau, Barbara:96
Reichgott Junge, Ember:406
Reznick, Jonathan:164
Riley, Stephanie:329
Rivers, Matt:200
Rocha, Rosemary:260
Rupp, Jillene:283
Ryan, Gerald:196
Saari, Emma:170
Sall, Maria:257
Salter, Tom:146
Sanchez, Sergio:382
Savich, Stanislav:296
Schmutzler, Kim:281
Schubbe, Tom:67
Schulte, Fernando:124
Severance, Heather:51
Sherman, Emily:376
Shiller, Artem:212
Shiller, Ginny Ray:213
Shipilov, Aleksei:358
Sick, Alexander:105
Sick, Jordan:108
Simanekova, Juanita:134
Simanovich, Michelle:111
Simanovich, Valerie:127
Simensen, Kimberly:141
Simon, Jaimee:319
Sims, Natalie:331
Smith, Elyse:75
Solano, Julius:43
Soulak, Patricia:261
Stanton, Janice:368
Starchoock, Nina:229
Steffes, Jake:24
Steinkruger, Rebecca:223
Story, Greg:255
Strom, Susan:226
Strong, Megan:154
Stroyny, Sandy:305
Stutts, Eddie:74
Swanson, Jacynda:158
Swensen, Chris:177
Tarnowska, Ania:215
Taylor, Jane:56
Teske, Marilyn:307
Thompson, Bryn:230
Thompson, Patricia:21
Thompson, Rhys:116
Traugott, Tom:338
Trinidad, Samantha:355
Trull, Anna:345
Tsapov, Alexander:122
Tuft, Jaimee:29
Tuft, Travis:30
Utyro, Valerie:168
Vaghn, Brenda:372
Vaughan, Bill:144
Vladimirov, Alexander:110
Vladimirov, Alyssa:112
Voigt, Dana:79
