Desert Sol Dancesport,AM Novice 3-Dance A AM/AM Int'l Latin (CC,S,R),Latin,5
Desert Sol Dancesport,AM Novice 3-Dance YH AM/AM Int'l Latin (CC,S,R),Latin,5
Desert Sol Dancesport,AM Open 4/5 Dance A AM/AM Int'l Latin (CC,S,R,PD,J),Latin,20
Desert Sol Dancesport,AM Open 4/5 Dance J2 AM/AM Int'l Latin (CC,S,R,PD,J),Latin,20
Desert Sol Dancesport,AM Open 4/5 Dance S1 AM/AM Int'l Ballroom (W,T,VW,F,Q),Standard,20
Desert Sol Dancesport,AM Open Scholarships A AM/AM Int'l Ballroom (W,T,VW,F,Q),Standard,25
Desert Sol Dancesport,AM Open Scholarships A AM/AM Int'l Latin (CC,S,R,PD,J),Latin,25
Desert Sol Dancesport,AM PreChamp 4-Dance A AM/AM Int'l Latin (CC,S,R,J),Latin,15
Desert Sol Dancesport,AM PreChamp 4-Dance J2 AM/AM Int'l Latin (CC,S,R,J),Latin,15
Desert Sol Dancesport,AM PreChamp 4-Dance S3 AM/AM Int'l Ballroom (W,T,F,Q),Standard,15
Desert Sol Dancesport,PA Bronze 3-Dance Closed A Amer. Rhythm (CC,R,SW),Rhythm,10
Desert Sol Dancesport,PA Bronze 3-Dance Closed A Amer. Smooth (W,T,F),Smooth,10
Desert Sol Dancesport,PA Bronze 3-Dance Closed B Amer. Rhythm (CC,R,SW),Rhythm,10
Desert Sol Dancesport,PA Bronze 3-Dance Closed B Amer. Smooth (W,T,F),Smooth,10
Desert Sol Dancesport,PA Bronze 3-Dance Closed B Int'l Ballroom (W,T,F),Standard,10
Desert Sol Dancesport,PA Bronze 3-Dance Closed C Int'l Latin (CC,S,R),Latin,10
Desert Sol Dancesport,PA Bronze 3-Dance Open A Amer. Rhythm (CC,R,SW),Rhythm,15
Desert Sol Dancesport,PA Bronze 3-Dance Open B Amer. Rhythm (CC,R,SW),Rhythm,15
Desert Sol Dancesport,PA Bronze 3-Dance Open B Amer. Smooth (W,T,F),Smooth,15
Desert Sol Dancesport,PA Closed Bronze Scholarships A Amer. Rhythm (CC,R,SW),Rhythm,15
Desert Sol Dancesport,PA Closed Bronze Scholarships A Amer. Smooth (W,T,F),Smooth,15
Desert Sol Dancesport,PA Closed Bronze Scholarships B Amer. Rhythm (CC,R,SW),Rhythm,15
Desert Sol Dancesport,PA Closed Bronze Scholarships B Amer. Smooth (W,T,F),Smooth,15
Desert Sol Dancesport,PA Closed Bronze Scholarships B Int'l Ballroom (W,T,F),Standard,15
Desert Sol Dancesport,PA Closed Bronze Scholarships B Int'l Latin (CC,S,R),Latin,15
Desert Sol Dancesport,PA Closed Silver Scholarships A Amer. Rhythm (CC,R,SW,M),Rhythm,20
Desert Sol Dancesport,PA Closed Silver Scholarships A Amer. Smooth (W,T,F,VW),Smooth,20
Desert Sol Dancesport,PA Closed Silver Scholarships A Int'l Ballroom (W,T,F,Q),Standard,20
Desert Sol Dancesport,PA Closed Silver Scholarships B Amer. Smooth (W,T,F,VW),Smooth,20
Desert Sol Dancesport,PA Closed Silver Scholarships B Int'l Latin (CC,S,R,J),Latin,20
Desert Sol Dancesport,PA Newcomer 2-Dance B Amer. Rhythm (CC,R),Rhythm,5
Desert Sol Dancesport,PA Newcomer 2-Dance B Amer. Smooth (W,T),Smooth,5
Desert Sol Dancesport,PA Open 4/5 Dance A Amer. Rhythm (CC,R,SW,B,M),Rhythm,20
Desert Sol Dancesport,PA Open 4/5 Dance A Amer. Smooth (W,T,F,VW),Smooth,20
Desert Sol Dancesport,PA Open 4/5 Dance B Amer. Rhythm (CC,R,SW,B,M),Rhythm,20
Desert Sol Dancesport,PA Open 4/5 Dance C Amer. Rhythm (CC,R,SW,B,M),Rhythm,20
Desert Sol Dancesport,PA Open 4/5 Dance C Int'l Ballroom (W,T,VW,F,Q),Standard,20
Desert Sol Dancesport,PA Open Scholarships A Amer. Rhythm (CC,R,SW,B,M),Rhythm,25
Desert Sol Dancesport,PA Open Scholarships A Amer. Smooth (W,T,F,VW),Smooth,25
Desert Sol Dancesport,PA Open Scholarships B Amer. Rhythm (CC,R,SW,B,M),Rhythm,25
Desert Sol Dancesport,PA Open Scholarships B Amer. Smooth (W,T,F,VW),Smooth,25
Desert Sol Dancesport,PA Open Scholarships B Int'l Ballroom (W,T,VW,F,Q),Standard,25
Desert Sol Dancesport,PA Silver 4-Dance Closed B Int'l Latin (CC,S,R,J),Latin,15
Desert Sol Dancesport,PA Silver 4-Dance Closed S1 Amer. Smooth (W,T,F,VW),Smooth,15
Desert Sol Dancesport,PA Silver 4-Dance Open S1 Amer. Smooth (W,T,F,VW),Smooth,20
Desert Sol Dancesport,PA/AM Preteen Closed 4-Dance P2 Int'l Latin (CC,S,R,J),Latin,15
