Great Gatsby Gala,Pro/Am Open Scholarships C Int'l Ballroom (W,T,VW,F,Q),Standard,25
Great Gatsby Gala,Pro/Am Open Scholarships C Int'l Latin (CC,S,R,PD,J),Latin,25
Great Gatsby Gala,Pro/Am Open Senior Scholarships S1 Amer. Rhythm (CC,R,SW,B),Rhythm,25
Great Gatsby Gala,Pro/Am Open Senior Scholarships S1 Amer. Smooth (W,T,F,VW),Smooth,25
Great Gatsby Gala,Pro/Am Open Senior Scholarships S1 Int'l Ballroom (W,T,F,Q),Standard,25
Great Gatsby Gala,Pro/Am Open Senior Scholarships S1 Int'l Latin (CC,S,R,PD),Latin,25
Great Gatsby Gala,Pro/Am Open WDDS 4/5 Dance A Amer. Smooth (W,T,F,VW),Smooth,20
Great Gatsby Gala,Pro/Am Open WDDS 4/5 Dance A Int'l Latin (CC,S,R,PD,J),Latin,20
Great Gatsby Gala,Pro/Am Open WDDS 4/5 Dance B Amer. Rhythm (CC,R,SW,B,M),Rhythm,20
Great Gatsby Gala,Pro/Am Open WDDS 4/5 Dance B Int'l Latin (CC,S,R,PD,J),Latin,20
Great Gatsby Gala,Pro/Am Open WDDS 4/5 Dance C Amer. Rhythm (CC,R,SW,B,M),Rhythm,20
Great Gatsby Gala,Pro/Am Open WDDS 4/5 Dance C Amer. Smooth (W,T,F,VW),Smooth,20
Great Gatsby Gala,Pro/Am Open WDDS 4/5 Dance C Int'l Ballroom (W,T,VW,F,Q),Standard,20
Great Gatsby Gala,Pro/Am Open WDDS 4/5 Dance C Int'l Latin (CC,S,R,PD,J),Latin,20
Great Gatsby Gala,Pro/Am Open WDDS 4/5 Dance S1 Amer. Rhythm (CC,R,SW,B,M),Rhythm,20
Great Gatsby Gala,Pro/Am Open WDDS 4/5 Dance S1 Amer. Smooth (W,T,F,VW),Smooth,20
Great Gatsby Gala,Pro/Am Open WDDS 4/5 Dance S1 Int'l Latin (CC,S,R,PD,J),Latin,20
Great Gatsby Gala,Pro/Am Open WDDS 4/5 Dance S2 Amer. Rhythm (CC,R,SW,B,M),Rhythm,20
Great Gatsby Gala,Pro/Am Open WDDS 4/5 Dance S2 Amer. Smooth (W,T,F,VW),Smooth,20
Great Gatsby Gala,Pro/Am Silver 4-Dance  Closed A Amer. Rhythm (CC,R,SW,M),Rhythm,15
Great Gatsby Gala,Pro/Am Silver 4-Dance  Closed A Amer. Smooth (W,T,F,VW),Smooth,15
Great Gatsby Gala,Pro/Am Silver 4-Dance  Closed B Amer. Rhythm (CC,R,SW,M),Rhythm,15
Great Gatsby Gala,Pro/Am Silver 4-Dance  Closed B Amer. Smooth (W,T,F,VW),Smooth,15
Great Gatsby Gala,Pro/Am Silver 4-Dance  Closed B Int'l Ballroom (W,T,F,Q),Standard,15
Great Gatsby Gala,Pro/Am Silver 4-Dance  Closed C Amer. Rhythm (CC,R,SW,M),Rhythm,15
Great Gatsby Gala,Pro/Am Silver 4-Dance  Closed C Amer. Smooth (W,T,F,VW),Smooth,15
Great Gatsby Gala,Pro/Am Silver 4-Dance  Closed C Int'l Ballroom (W,T,F,Q),Standard,15
Great Gatsby Gala,Pro/Am Silver 4-Dance  Closed S1 Amer. Rhythm (CC,R,SW,M),Rhythm,15
Great Gatsby Gala,Pro/Am Silver 4-Dance  Closed S1 Amer. Smooth (W,T,F,VW),Smooth,15
Great Gatsby Gala,Pro/Am Silver 4-Dance  Closed S1 Int'l Ballroom (W,T,F,Q),Standard,15
Great Gatsby Gala,Pro/Am Silver 4-Dance  Closed S1 Int'l Latin (CC,S,R,J),Latin,15
Great Gatsby Gala,Pro/Am Silver 4-Dance  Closed S2 Amer. Rhythm (CC,R,SW,M),Rhythm,15
