The Royal Ball,Amateur Open A Amer. Smooth (W,T,F,VW),Smooth,20
The Royal Ball,Closed Multi-Dance Bronze S1 Int'l Ballroom (W,T,Q),Standard,10
The Royal Ball,Closed Multi-Dance Bronze S1 Int'l Latin (CC,S,R),Latin,10
The Royal Ball,Closed Multi-Dance Bronze S2 Amer. Rhythm (CC,R,SW),Rhythm,10
The Royal Ball,Closed Multi-Dance Bronze S2 Amer. Smooth (W,T,F),Smooth,10
The Royal Ball,Closed Multi-Dance Bronze S2 Int'l Ballroom (W,T,Q),Standard,10
The Royal Ball,Closed Multi-Dance Bronze S2 Int'l Latin (CC,S,R),Latin,10
The Royal Ball,Closed Multi-Dance Silver A Int'l Latin (CC,S,R),Latin,15
The Royal Ball,Closed Multi-Dance Silver A Mixed Prof M/F Int'l Latin (CC,S,R),Latin,15
The Royal Ball,Closed Multi-Dance Silver B Amer. Smooth (W,T,F),Smooth,15
The Royal Ball,Closed Multi-Dance Silver B Int'l Latin (CC,S,R),Latin,15
The Royal Ball,Closed Multi-Dance Silver C Amer. Rhythm (CC,R,SW),Rhythm,15
The Royal Ball,Closed Multi-Dance Silver C Amer. Smooth (W,T,F),Smooth,15
The Royal Ball,Closed Multi-Dance Silver C Int'l Ballroom (W,T,Q),Standard,15
The Royal Ball,Closed Multi-Dance Silver C Int'l Latin (CC,S,R),Latin,15
The Royal Ball,Closed Multi-Dance Silver JR Amer. Rhythm (CC,R,SW),Rhythm,15
The Royal Ball,Closed Multi-Dance Silver JR Int'l Latin (CC,S,R),Latin,15
The Royal Ball,Closed Multi-Dance Silver PT Int'l Ballroom (W,T,Q),Standard,15
The Royal Ball,Closed Multi-Dance Silver PT Int'l Latin (CC,S,R),Latin,15
The Royal Ball,Closed Multi-Dance Silver PT Mixed Prof M/F Int'l Ballroom (W,T,Q),Standard,15
The Royal Ball,Closed Multi-Dance Silver PT Mixed Prof M/F Int'l Latin (CC,S,R),Latin,15
The Royal Ball,Closed Multi-Dance Silver S1 Amer. Rhythm (CC,R,SW),Rhythm,15
The Royal Ball,Closed Multi-Dance Silver S1 Amer. Smooth (W,T,F),Smooth,15
The Royal Ball,Closed Multi-Dance Silver S1 Int'l Ballroom (W,T,Q),Standard,15
The Royal Ball,Closed Multi-Dance Silver S1 Int'l Latin (CC,S,R),Latin,15
The Royal Ball,Closed Multi-Dance Silver S2 Amer. Rhythm (CC,R,SW),Rhythm,15
The Royal Ball,Closed Multi-Dance Silver S2 Amer. Smooth (W,T,F),Smooth,15
The Royal Ball,Closed Multi-Dance Silver S2 Int'l Ballroom (W,T,Q),Standard,15
The Royal Ball,Gentleman Closed Multi-Dance Bronze & Silver Men Amer. Rhythm (CC,R,SW),Rhythm,10
The Royal Ball,Gentleman Closed Multi-Dance Bronze & Silver Men Int'l Ballroom (W,T,Q),Standard,10
The Royal Ball,Gentleman Open Multi-Dance Gold & Above Men Amer. Rhythm (CC,R,SW,M),Rhythm,25
The Royal Ball,Gentleman Open Multi-Dance Gold & Above Men Amer. Smooth (W,T,F,VW),Smooth,25
The Royal Ball,Gentleman Open Multi-Dance Gold & Above Men Int'l Ballroom (W,T,F,Q),Standard,25
The Royal Ball,Gentleman Open Multi-Dance Gold & Above Men Int'l Latin (CC,S,R,J),Latin,25
The Royal Ball,Open Multi-Dance Gold A Amer. Rhythm (CC,R,SW,M),Rhythm,25
The Royal Ball,Open Multi-Dance Gold A Amer. Smooth (W,T,F,VW),Smooth,25
The Royal Ball,Open Multi-Dance Gold A Int'l Latin (CC,S,R,J),Latin,25
The Royal Ball,Open Multi-Dance Gold A Mixed Prof M/F Int'l Latin (CC,S,R,J),Latin,25
The Royal Ball,Open Multi-Dance Gold B Amer. Rhythm (CC,R,SW,M),Rhythm,25
The Royal Ball,Open Multi-Dance Gold B Int'l Latin (CC,S,R,J),Latin,25
The Royal Ball,Open Multi-Dance Gold C Amer. Smooth (W,T,F,VW),Smooth,25
The Royal Ball,Open Multi-Dance Gold C Int'l Ballroom (W,T,F,Q),Standard,25
The Royal Ball,Open Multi-Dance Gold C Int'l Latin (CC,S,R,J),Latin,25
The Royal Ball,Open Multi-Dance Gold C Mixed Prof M/F Int'l Latin (CC,S,R,J),Latin,25
The Royal Ball,Open Multi-Dance Gold JR Mixed Prof M/F Int'l Latin (CC,S,R,J),Latin,25
The Royal Ball,Open Multi-Dance Gold PT Int'l Latin (CC,S,R,J),Latin,25
The Royal Ball,Open Multi-Dance Gold Y Mixed Prof M/F Int'l Ballroom (W,T,F,Q),Standard,25
The Royal Ball,Open Multi-Dance Gold Y Mixed Prof M/F Int'l Latin (CC,S,R,J),Latin,25
The Royal Ball,Open Scholarship A Amer. Rhythm (CC,R,SW,B,M),Rhythm,25
The Royal Ball,Open Scholarship A Amer. Smooth (W,T,F,VW),Smooth,25
The Royal Ball,Open Scholarship A Int'l Ballroom (W,T,VW,F,Q),Standard,25
The Royal Ball,Open Scholarship A Int'l Latin (CC,S,R,PD,J),Latin,25
The Royal Ball,Open Scholarship B Amer. Rhythm (CC,R,SW,B,M),Rhythm,25
The Royal Ball,Open Scholarship B Amer. Smooth (W,T,F,VW),Smooth,25
The Royal Ball,Open Scholarship B Int'l Ballroom (W,T,VW,F,Q),Standard,25
The Royal Ball,Open Scholarship B Int'l Latin (CC,S,R,PD,J),Latin,25
The Royal Ball,Open Scholarship C Amer. Rhythm (CC,R,SW,B,M),Rhythm,25
The Royal Ball,Open Scholarship C Amer. Smooth (W,T,F,VW),Smooth,25
The Royal Ball,Open Scholarship C Int'l Ballroom (W,T,VW,F,Q),Standard,25
The Royal Ball,Open Scholarship C Int'l Latin (CC,S,R,PD,J),Latin,25
The Royal Ball,Open Scholarship JR Amer. Smooth (W,T,F,VW),Smooth,25
The Royal Ball,Open Scholarship JR Int'l Ballroom (W,T,VW,F,Q),Standard,25
The Royal Ball,Open Scholarship JR Int'l Latin (CC,S,R,PD,J),Latin,25
The Royal Ball,Open Scholarship PT Int'l Ballroom (W,T,VW,F,Q),Standard,25
The Royal Ball,Open Scholarship PT Int'l Latin (CC,S,R,PD,J),Latin,25
The Royal Ball,Partnerless Closed Multi-Dance Bronze JR Ladies Int'l Ballroom (W,T,Q),Standard,10
The Royal Ball,Partnerless Closed Multi-Dance Bronze JR Ladies Int'l Latin (CC,S,R),Latin,10
The Royal Ball,Partnerless Closed Multi-Dance Bronze PT Ladies Int'l Ballroom (W,T,Q),Standard,10
The Royal Ball,Partnerless Closed Multi-Dance Bronze PT Ladies Int'l Latin (CC,S,R),Latin,10
